security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC240920C00038000,SMTC,C,38.0,2024-09-20,227,0,323,2.92,1724701388736000000,50,14600.0,2024-08-26,Single Leg Auction Non ISO,Computer and Technology,Semiconductor - Analog and Mixed,36.89,37.55,36.3811,37.03,116,4.164352855784437,4,1,1,1,0
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC240920C00040000,SMTC,C,40.0,2024-09-20,209,0,302,1.9,1724681716036000000,100,19000.0,2024-08-26,Automatic Execution,Computer and Technology,Semiconductor - Analog and Mixed,36.89,37.55,36.3811,37.03,82,4.278753600952829,3,1,1,1,0
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC240920C00040000,SMTC,C,40.0,2024-09-20,209,0,313,1.9,1724681715975000000,60,11400.0,2024-08-26,Automatic Execution,Computer and Technology,Semiconductor - Analog and Mixed,36.89,37.55,36.3811,37.03,169,4.056904851336473,5,1,1,1,0
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC241018P00038000,SMTC,P,38.0,2024-10-18,231,0,313,0.3,1727106395717000000,382,11460.0,2024-09-23,Single Leg Floor Trade,Computer and Technology,Semiconductor - Analog and Mixed,46.12,46.25,44.3,46.22,166,4.059184617631371,5,0,0,0,1
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC241018C00050000,SMTC,C,50.0,2024-10-18,209,0,313,1.2,1727196475064000000,100,12000.0,2024-09-24,Automatic Execution,Computer and Technology,Semiconductor - Analog and Mixed,46.87,47.81,46.33,47.6,149,4.079181246047625,5,0,0,0,1
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,7. p90_trade_value,21000.0,34000.0,O:SMTC241018C00050000,SMTC,C,50.0,2024-10-18,235,0,313,0.4,1727720403332000000,633,25320.0,2024-09-30,Multi Leg floor trade,Computer and Technology,Semiconductor - Analog and Mixed,45.57,46.69,44.65,45.66,53,4.403463701345317,2,0,0,0,1
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC241018P00039000,SMTC,P,39.0,2024-10-18,235,0,313,0.3,1727720402239000000,633,18990.0,2024-09-30,Multi Leg floor trade,Computer and Technology,Semiconductor - Analog and Mixed,45.57,46.69,44.65,45.66,83,4.278524964737017,3,0,0,0,1
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC241018C00045000,SMTC,C,45.0,2024-10-18,227,0,304,1.19,1727883869999000000,100,11900.0,2024-10-02,Single Leg Auction Non ISO,Computer and Technology,Semiconductor - Analog and Mixed,41.85,43.31,40.59,41.06,154,4.075546961392531,5,1,0,0,0
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC241018C00045000,SMTC,C,45.0,2024-10-18,227,0,309,1.19,1727883869998000000,150,17850.0,2024-10-02,Single Leg Auction Non ISO,Computer and Technology,Semiconductor - Analog and Mixed,41.85,43.31,40.59,41.06,95,4.251638220448212,3,1,0,0,0
SMTC,Computer and Technology,Semiconductor - Analog and Mixed,30__0,30,0.0,8. p75_trade_value,11000.000000000002,19836.0,O:SMTC241018C00045000,SMTC,C,45.0,2024-10-18,227,0,308,1.19,1727883869999000000,100,11900.0,2024-10-02,Single Leg Auction Non ISO,Computer and Technology,Semiconductor - Analog and Mixed,41.85,43.31,40.59,41.06,155,4.075546961392531,5,1,0,0,0
