security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BZFD,Consumer Discretionary,Media Conglomerates,10__0,10,0.0,1. p999999_trade_value,6900.0,6900.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
BZFD,Consumer Discretionary,Media Conglomerates,10__0,10,0.0,8. p75_trade_value,5000.0,4750.0,0.0,2.0,0.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
FWONK,Consumer Discretionary,Media Conglomerates,10__3,10,3.0,1. p999999_trade_value,251125.0,251125.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
FWONK,Consumer Discretionary,Media Conglomerates,10__3,10,3.0,7. p90_trade_value,183750.0,183750.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
FWONK,Consumer Discretionary,Media Conglomerates,10__3,10,3.0,8. p75_trade_value,81000.0,81000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
SBGI,Consumer Discretionary,Media Conglomerates,10__0,10,0.0,1. p999999_trade_value,13750.0,13750.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
SBGI,Consumer Discretionary,Media Conglomerates,10__0,10,0.0,7. p90_trade_value,7820.0,7820.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
SBGI,Consumer Discretionary,Media Conglomerates,10__0,10,0.0,8. p75_trade_value,6509.999999999999,5000.0,4.0,5.0,0.8,0.65,1. ABOVE BASELINE,6.0,7.0,0.8571428571428571
