security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AEM,Basic Materials,Mining - Gold,0.55,363000.0,4. p999_trade_value,2.0,1875,35__1,35,1.0,13500.0,20763.0,77561.3,320174.0,1676893.75,1949600.28,1976870.93
AG,Basic Materials,Mining - Silver,0.55,,,,295,25__0,25,0.0,12108.0,15060.0,33233.88,47294.2,47479.42,47497.94,47499.79
AGI,Basic Materials,Mining - Gold,0.55,6840.000000000001,8. p75_trade_value,39.0,152,20__0,20,0.0,12270.0,14490.0,24725.0,35245.61,36725.56,36873.56,36888.36
ALB,Basic Materials,Chemical - Diversified ,0.55,,,,3014,35__0,35,0.0,14721.1,24420.0,67892.05,334102.67,532797.92,580456.59,585222.46
AMR,Basic Materials,Mining - Miscellaneous,0.55,36000.0,1. p999999_trade_value,1.0,391,25__0,25,0.0,11600.0,15000.0,29001.6,35415.0,35941.5,35994.15,35999.41
APD,Basic Materials,Chemical - Diversified ,0.55,,,,789,30__2,30,2.0,15260.0,20738.0,88699.92,558750.0,558750.0,558750.0,558750.0
ASH,Basic Materials,Chemical - Specialty,0.55,,,,20,15__0,15,0.0,40750.7,70600.0,110120.0,119012.0,119901.2,119990.12,119999.01
ASPI,Basic Materials,Chemical - Diversified ,0.55,75000.0,1. p999999_trade_value,1.0,309,25__0,25,0.0,10612.8,14410.0,29720.0,69740.9,74474.09,74947.41,74994.74
ASTL,Basic Materials,Steel - Producers,0.55,241500.0,1. p999999_trade_value,1.0,22,15__0,15,0.0,46932.0,57562.0,202956.6,237645.66,241114.57,241461.46,241496.15
ATI,Basic Materials,Steel - Speciality,0.55,6000.0,8. p75_trade_value,33.0,130,20__1,20,1.0,10510.0,16644.0,35130.0,387884.0,434788.4,439478.84,439947.88
ATLX,Basic Materials,Mining - Miscellaneous,0.55,,,,8,10__0,10,0.0,7880.0,8860.0,9644.0,9820.4,9838.04,9839.8,9839.98
AU,Basic Materials,Mining - Gold,0.55,9071.0,8. p75_trade_value,67.0,266,25__0,25,0.0,21855.0,36187.5,100803.25,183330.0,201933.0,203793.3,203979.33
AXTA,Basic Materials,Chemical - Specialty,0.55,14500.0,1. p999999_trade_value,1.0,15,10__0,10,0.0,9450.0,11350.0,13870.0,14437.0,14493.7,14499.37,14499.94
B,Basic Materials,Mining - Gold,0.55,27500.0,1. p999999_trade_value,1.0,140,20__0,20,0.0,13452.9,18644.7,26352.81,27347.1,27484.71,27498.47,27499.85
BCPC,Basic Materials,Chemical - Specialty,0.55,3500.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
BG,Basic Materials,Agriculture - Products,0.55,250000.0,1. p999999_trade_value,1.0,147,20__1,20,1.0,13596.0,38412.5,219520.8,248540.0,249854.0,249985.4,249998.54
BHP,Basic Materials,Mining - Miscellaneous,0.55,,,,369,25__0,25,0.0,13968.0,20016.0,44204.16,104846.72,107234.67,107473.47,107497.35
BTG,Basic Materials,Mining - Gold,0.55,28000.0,7. p90_trade_value,2.0,14,10__0,10,0.0,23800.0,39200.0,55840.0,59584.0,59958.4,59995.84,59999.58
CALM,Basic Materials,Agriculture - Products,0.55,48179.99999999999,5. p99_trade_value,4.0,326,25__0,25,0.0,13936.0,19960.0,46635.0,103641.2,116225.72,117484.17,117610.02
CBT,Basic Materials,Chemical - Diversified ,0.55,21000.0,1. p999999_trade_value,1.0,6,10__0,10,0.0,15770.0,18385.0,20477.0,20947.7,20994.77,20999.48,20999.95
CC,Basic Materials,Chemical - Diversified ,0.55,,,,67,20__0,20,0.0,18200.0,31050.0,87000.0,116700.0,119670.0,119967.0,119996.7
CCJ,Basic Materials,Mining - Miscellaneous,0.55,,,,6485,40__2,40,2.0,18750.0,35370.0,201708.48,651233.28,1720142.55,1985935.45,2012514.75
CDE,Basic Materials,Mining - Non Ferrous,0.55,,,,45,15__0,15,0.0,16500.0,22785.0,24434.6,24943.46,24994.35,24999.43,24999.94
CE,Basic Materials,Chemical - Specialty,0.55,,,,338,25__2,25,2.0,17453.0,33988.5,98774.85,1784329.7,2358142.97,2415524.3,2421262.43
CF,Basic Materials,Fertilizers,0.55,437400.0,1. p999999_trade_value,1.0,495,25__0,25,0.0,18844.0,29020.0,78084.2,296906.4,423350.64,435995.06,437259.51
CLF,Basic Materials,Steel - Producers,0.55,266000.0,1. p999999_trade_value,1.0,1952,35__0,35,0.0,14000.0,22674.7,59614.24,125874.79,238959.92,263295.99,265729.6
CLW,Basic Materials,Paper and Related Products,0.55,,,,108,20__0,20,0.0,46500.0,72000.0,130939.2,139237.47,139698.75,139744.87,139749.49
CMC,Basic Materials,Steel - Producers,0.55,,,,46,15__0,15,0.0,20550.5,75900.0,106587.0,111908.7,112440.87,112494.09,112499.41
CMCL,Basic Materials,Mining - Gold,0.55,5400.0,1. p999999_trade_value,1.0,3,5__0,5,0.0,5320.0,5360.0,5392.0,5399.2,5399.92,5399.99,5400.0
CMP,Basic Materials,Chemical - Diversified ,0.55,38120.00000000001,6. p95_trade_value,2.0,21,15__0,15,0.0,24000.0,38120.0,125992.0,145763.2,147740.32,147938.03,147957.8
CRS,Basic Materials,Steel - Speciality,0.55,,,,655,30__2,30,2.0,17920.0,37000.0,97021.26,193149.17,238262.42,242773.74,243224.87
DC,Basic Materials,Mining - Gold,0.55,,,,1,0__2,0,2.0,3237.0,3237.0,3237.0,3237.0,3237.0,3237.0,3237.0
DD,Basic Materials,Chemical - Diversified ,0.55,150660.0,1. p999999_trade_value,1.0,574,30__2,30,2.0,16400.0,26085.8,85530.24,150281.82,150622.18,150656.22,150659.62
DNN,Basic Materials,Mining - Miscellaneous,0.55,25000.0,8. p75_trade_value,7.0,26,15__0,15,0.0,31000.0,38000.0,55000.0,59500.0,59950.0,59995.0,59999.5
DOW,Basic Materials,Chemical - Diversified ,0.55,,,,760,30__2,30,2.0,16275.0,26786.25,57524.79,129471.0,150647.1,152764.71,152976.47
DQ,Basic Materials,Chemical - Specialty,0.55,10449.0,8. p75_trade_value,72.0,287,25__0,25,0.0,25000.0,41163.0,95045.6,104142.0,104914.2,104991.42,104999.14
DRD,Basic Materials,Mining - Gold,0.55,28000.0,1. p999999_trade_value,1.0,4,5__3,5,3.0,25600.0,26800.0,27760.0,27976.0,27997.6,27999.76,27999.98
ECL,Basic Materials,Chemical - Specialty,0.55,9610.0,6. p95_trade_value,9.0,170,20__0,20,0.0,8800.0,9461.5,18772.5,169221.45,195527.15,198157.71,198420.77
EGO,Basic Materials,Mining - Gold,0.55,32250.0,6. p95_trade_value,2.0,40,15__0,15,0.0,28175.0,30738.55,40027.5,44502.75,44950.27,44995.03,44999.5
EMN,Basic Materials,Chemical - Diversified ,0.55,77350.0,1. p999999_trade_value,1.0,53,15__0,15,0.0,16640.0,60002.4,72908.16,76905.82,77305.58,77345.56,77349.56
EQX,Basic Materials,Mining - Gold,0.55,,,,6,10__0,10,0.0,5625.0,5937.5,6187.5,6243.75,6249.38,6249.94,6249.99
ERO,Basic Materials,Mining - Non Ferrous,0.55,,,,30,15__0,15,0.0,12042.0,12464.0,14275.0,14927.5,14992.75,14999.28,14999.93
ESI,Basic Materials,Chemical - Specialty,0.55,,,,51,15__0,15,0.0,108000.0,165000.0,204285.0,211678.5,212417.85,212491.79,212499.18
EU,Basic Materials,Mining - Miscellaneous,0.55,5478.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,5478.0,5478.0,5478.0,5478.0,5478.0,5478.0,5478.0
EXK,Basic Materials,Mining - Silver,0.55,12650.0,6. p95_trade_value,2.0,23,15__0,15,0.0,11159.0,12505.0,12923.0,12992.3,12999.23,12999.92,12999.99
FCX,Basic Materials,Mining - Non Ferrous,0.55,,,,6593,40__0,40,0.0,16295.0,26610.0,89705.68,334080.0,842201.6,858220.16,859822.02
FNV,Basic Materials,Mining - Gold,0.55,,,,174,20__0,20,0.0,11382.0,15370.0,21566.96,26862.82,27633.38,27710.44,27718.14
FSM,Basic Materials,Mining - Miscellaneous,0.55,13540.0,1. p999999_trade_value,1.0,9,10__0,10,0.0,8724.0,11132.0,13058.4,13491.84,13535.18,13539.52,13539.95
FUL,Basic Materials,Chemical - Specialty,0.55,,,,3,5__3,5,3.0,19026.0,20763.0,22152.6,22465.26,22496.53,22499.65,22499.97
GFI,Basic Materials,Mining - Gold,0.55,74000.0,5. p99_trade_value,2.0,112,20__0,20,0.0,31078.8,43226.25,73560.0,84756.9,85965.69,86086.57,86098.66
GPRE,Basic Materials,Chemical - Specialty,0.55,48000.0,1. p999999_trade_value,1.0,41,15__0,15,0.0,24278.0,24978.0,43098.4,47509.84,47950.98,47995.1,47999.51
GRWG,Basic Materials,Agriculture - Products,0.55,5575.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,5575.0,5575.0,5575.0,5575.0,5575.0,5575.0,5575.0
GSM,Basic Materials,Mining - Miscellaneous,0.55,,,,79,20__0,20,0.0,11631.0,15334.5,38146.2,63214.62,65721.46,65972.15,65997.21
HBM,Basic Materials,Mining - Miscellaneous,0.55,,,,31,15__0,15,0.0,6800.0,8570.0,13486.0,14830.6,14965.06,14978.51,14979.85
HL,Basic Materials,Mining - Silver,0.55,92000.0,1. p999999_trade_value,1.0,140,20__0,20,0.0,12698.5,16810.0,30131.51,83660.0,91166.0,91916.6,91991.66
HMY,Basic Materials,Mining - Gold,0.55,10950.0,8. p75_trade_value,25.0,98,20__0,20,0.0,22116.0,39092.5,102044.28,128824.43,131502.44,131770.24,131797.02
HUN,Basic Materials,Chemical - Diversified ,0.55,,,,21,15__1,15,1.0,73470.0,180000.0,420000.0,474000.0,479400.0,479940.0,479994.0
HWKN,Basic Materials,Chemical - Specialty,0.55,3850.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3850.0,3850.0,3850.0,3850.0,3850.0,3850.0,3850.0
HYMC,Basic Materials,Mining - Miscellaneous,0.55,,,,1,0__2,0,2.0,4280.0,4280.0,4280.0,4280.0,4280.0,4280.0,4280.0
IAG,Basic Materials,Mining - Gold,0.55,,,,29,15__0,15,0.0,32760.0,90142.4,143000.0,149300.0,149930.0,149993.0,149999.3
ICL,Basic Materials,Fertilizers,0.55,,,,2,5__0,5,0.0,4351.0,4403.0,4444.6,4453.96,4454.9,4454.99,4455.0
IDR,Basic Materials,Mining - Gold,0.55,,,,9,10__0,10,0.0,23796.0,39398.0,51879.6,54687.96,54968.8,54996.88,54999.69
IFF,Basic Materials,Chemical - Specialty,0.55,,,,123,20__0,20,0.0,12532.0,18339.0,66553.9,107424.8,111992.48,112449.25,112494.92
IP,Basic Materials,Paper and Related Products,0.55,,,,430,25__0,25,0.0,25873.2,36544.5,128747.7,400409.0,443785.4,448123.04,448556.8
IPI,Basic Materials,Fertilizers,0.55,,,,16,10__0,10,0.0,11335.0,12678.75,12699.75,12704.47,12704.95,12704.99,12705.0
ITP,Basic Materials,Paper and Related Products,0.55,,,,1,0__2,0,2.0,3760.0,3760.0,3760.0,3760.0,3760.0,3760.0,3760.0
KGC,Basic Materials,Mining - Gold,0.55,,,,176,20__0,20,0.0,15750.0,34813.0,80610.75,110917.5,114051.75,114365.18,114396.52
KWR,Basic Materials,Chemical - Specialty,0.55,,,,5,5__0,5,0.0,5508.0,5904.0,6220.8,6292.08,6299.21,6299.92,6299.99
LAC,Basic Materials,Mining - Miscellaneous,0.55,,,,50,15__0,15,0.0,19258.4,21000.0,50137.5,61713.75,62871.38,62987.14,62998.71
LEU,Basic Materials,Mining - Non Ferrous,0.55,7840.000000000001,8. p75_trade_value,594.0,2373,35__0,35,0.0,13672.0,21110.0,64164.8,110265.93,208427.06,229642.71,231764.27
LIN,Basic Materials,Chemical - Specialty,0.55,,,,602,30__2,30,2.0,14329.0,18890.0,35994.6,57187.0,64218.7,64921.87,64992.19
LODE,Basic Materials,Mining - Gold,0.55,,,,53,15__0,15,0.0,8560.0,9780.0,19893.6,24489.36,24948.94,24994.89,24999.49
LWLG,Basic Materials,Chemical - Plastic,0.55,3660.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,3644.0,3652.0,3658.4,3659.84,3659.98,3660.0,3660.0
LXU,Basic Materials,Chemical - Diversified ,0.55,5990.000000000001,1. p999999_trade_value,1.0,3,5__0,5,0.0,5812.0,5901.0,5972.2,5988.22,5989.82,5989.98,5990.0
LYB,Basic Materials,Chemical - Diversified ,0.55,62825.0,1. p999999_trade_value,1.0,226,25__0,25,0.0,11597.5,22780.0,58495.5,62301.88,62772.69,62819.77,62824.48
MAG,Basic Materials,Mining - Silver,0.55,,,,17,10__0,10,0.0,7700.0,8200.0,8840.0,8984.0,8998.4,8999.84,8999.98
MATV,Basic Materials,Chemical - Specialty,0.55,,,,13,10__3,10,3.0,112954.8,156972.4,207394.48,218739.45,219873.94,219987.39,219998.74
