security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI240920C00021000,AGI,C,21.0,2024-09-20,209,0,323,0.25,1726494302466000000,497,12425.0,2024-09-16,3000,30,True,Automatic Execution,Basic Materials,Mining - Gold,20.77,20.8,20.41,20.68,15,4.09429639740537,20,2,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI241018C00020000,AGI,C,20.0,2024-10-18,227,0,308,0.225,1728311206389000000,1000,22500.0,2024-10-07,3000,30,True,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,19.5,19.52,19.14,19.41,4,4.352182518111363,20,1,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI241115C00021000,AGI,C,21.0,2024-11-15,209,0,308,0.5,1729087314693000000,357,17850.0,2024-10-16,3000,30,True,Automatic Execution,Basic Materials,Mining - Gold,19.95,20.24,19.74,19.97,6,4.251638220448212,20,1,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI241115C00022000,AGI,C,22.0,2024-11-15,209,0,308,0.65,1729519250905000000,199,12935.0,2024-10-21,3000,30,True,Automatic Execution,Basic Materials,Mining - Gold,21.3,21.45,20.731,20.79,14,4.111766433052562,20,2,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,5. p99_trade_value,26000.0,26000.0,O:AGI241115C00021000,AGI,C,21.0,2024-11-15,209,0,309,0.65,1730143092150000000,400,26000.0,2024-10-28,3000,30,True,Automatic Execution,Basic Materials,Mining - Gold,20.72,20.815,20.445,20.5,2,4.414973347970818,20,1,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI250221C00022000,AGI,C,22.0,2025-02-21,227,0,323,0.47,1738252231438000000,500,23500.0,2025-01-30,3000,30,True,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,20.88,21.37,20.73,21.21,3,4.371067862271736,20,1,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,1. p999999_trade_value,36890.0,36890.0,O:AGI250417P00024000,AGI,P,24.0,2025-04-17,209,0,320,0.7,1743794113713000000,527,36890.0,2025-04-04,3000,30,True,Automatic Execution,Basic Materials,Mining - Gold,25.83,26.26,24.29,24.52,1,4.566908655226803,20,1,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI250417P00024000,AGI,P,24.0,2025-04-17,209,0,316,0.6,1743777292707000000,223,13379.999999999998,2025-04-04,3000,30,True,Automatic Execution,Basic Materials,Mining - Gold,25.83,26.26,24.29,24.52,13,4.1264561134318045,20,2,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,227,0,309,0.46,1744219224779000000,300,13800.0,2025-04-09,3000,30,True,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,12,4.139879086401237,20,2,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,209,0,325,0.32,1744226586262000000,500,16000.0,2025-04-09,3000,30,True,Automatic Execution,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,7,4.204119982655925,20,1,1,1,1,0
