security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,1. p999999_trade_value,878162.9999999999,878162.9999999999,O:UPS241018C00135000,UPS,C,135.0,2024-10-18,233,0,304,2.53,1726753556416000000,3471,878162.9999999999,2024-09-19,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,132.75,133.57,131.79,132.13,1,5.943575134847229,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241018C00135000,UPS,C,135.0,2024-10-18,209,0,308,2.33,1726755742636000000,396,92268.0,2024-09-19,Automatic Execution,Transportation,Transportation - Air Freight and Cargo,132.75,133.57,131.79,132.13,32,4.965051106951531,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241018C00135000,UPS,C,135.0,2024-10-18,232,0,304,2.56,1726753546946000000,250,64000.0,2024-09-19,Multi Leg auto-electronic trade,Transportation,Transportation - Air Freight and Cargo,132.75,133.57,131.79,132.13,65,4.8061799739838875,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241018C00145000,UPS,C,145.0,2024-10-18,233,0,304,0.32,1726753556416000000,3471,111072.0,2024-09-19,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,132.75,133.57,131.79,132.13,20,5.045604591991318,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,4. p999_trade_value,255500.0,435000.0,O:UPS241018C00130000,UPS,C,130.0,2024-10-18,232,0,322,2.02,1726841825860000000,1975,398950.0,2024-09-20,Multi Leg auto-electronic trade,Transportation,Transportation - Air Freight and Cargo,128.5,129.2,126.54,128.6,3,5.600918469409103,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241018C00130000,UPS,C,130.0,2024-10-18,232,0,304,2.17,1726841877549000000,441,95696.99999999999,2024-09-20,Multi Leg auto-electronic trade,Transportation,Transportation - Air Freight and Cargo,128.5,129.2,126.54,128.6,30,4.980898323316368,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241018C00130000,UPS,C,130.0,2024-10-18,232,0,304,2.09,1726841848469000000,500,104500.0,2024-09-20,Multi Leg auto-electronic trade,Transportation,Transportation - Air Freight and Cargo,128.5,129.2,126.54,128.6,26,5.019116290447073,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241018C00130000,UPS,C,130.0,2024-10-18,232,0,322,2.17,1726841875667000000,407,88319.0,2024-09-20,Multi Leg auto-electronic trade,Transportation,Transportation - Air Freight and Cargo,128.5,129.2,126.54,128.6,36,4.9460541430737495,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241018C00135000,UPS,C,135.0,2024-10-18,232,0,322,0.67,1726841825860000000,1975,132325.0,2024-09-20,Multi Leg auto-electronic trade,Transportation,Transportation - Air Freight and Cargo,128.5,129.2,126.54,128.6,15,5.121641902663305,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__3,40,3.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241025C00132000,UPS,C,132.0,2024-10-25,209,0,303,4.5,1727286987983000000,325,146250.0,2024-09-25,Automatic Execution,Transportation,Transportation - Air Freight and Cargo,129.54,131.81,129.24,131.51,11,5.165095874754218,1,1,1,1,0
