security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AIRS,Business Services,Technology Services,0__0,0,3,0.0,1. p999999_trade_value,10500.0,10500.0,O:AIRS241220C00007000,AIRS,C,7.0,2024-12-20,209,0,308,0.35,1732894178163000000,300,10500.0,2024-11-29,3000.0,30,True,Automatic Execution,Business Services,Technology Services,6.64,6.97,6.64,6.83,1,4.021189299069938,20,1,1,0,0,0
ALLT,Business Services,Technology Services,15__0,15,3,0.0,8. p75_trade_value,10050.0,10800.0,O:ALLT250321C00007500,ALLT,C,7.5,2025-03-21,209,0,325,0.72,1740068336082000000,150,10800.0,2025-02-20,3000.0,30,True,Automatic Execution,Business Services,Technology Services,7.29,7.43,7.06,7.14,3,4.033423755486949,20,3,1,0,0,0
ALLT,Business Services,Technology Services,15__0,15,3,0.0,8. p75_trade_value,10050.0,10800.0,O:ALLT250321C00007500,ALLT,C,7.5,2025-03-21,209,0,325,0.72,1740068336082000000,150,10800.0,2025-02-20,3000.0,30,True,Automatic Execution,Business Services,Technology Services,7.29,7.43,7.06,7.14,4,4.033423755486949,20,4,1,0,0,0
ALLT,Business Services,Technology Services,15__0,15,3,0.0,8. p75_trade_value,10050.0,10800.0,O:ALLT250321C00007500,ALLT,C,7.5,2025-03-21,209,0,309,0.75,1740070571481000000,134,10050.0,2025-02-20,3000.0,30,True,Automatic Execution,Business Services,Technology Services,7.29,7.43,7.06,7.14,5,4.002166061756507,20,5,1,0,0,0
ALLT,Business Services,Technology Services,15__0,15,3,0.0,1. p999999_trade_value,13800.0,13800.0,O:ALLT250321C00007500,ALLT,C,7.5,2025-03-21,227,0,323,0.46,1740420286401000000,300,13800.0,2025-02-24,3000.0,30,True,Single Leg Auction Non ISO,Business Services,Technology Services,6.71,6.86,6.37,6.61,1,4.139879086401237,20,1,1,0,0,0
ALLT,Business Services,Technology Services,15__0,15,3,0.0,7. p90_trade_value,11046.0,11046.0,O:ALLT250516C00007500,ALLT,C,7.5,2025-05-16,209,0,325,0.14,1746538509149000000,789,11046.0,2025-05-06,3000.0,30,True,Automatic Execution,Business Services,Technology Services,5.78,6.08,5.605,5.995,2,4.043205038887658,20,2,1,1,1,0
AMPL,Business Services,Technology Services,15__0,15,3,0.0,1. p999999_trade_value,150000.0,150000.0,O:AMPL250516C00010000,AMPL,C,10.0,2025-05-16,231,0,301,0.6,1746462938561000000,2500,150000.0,2025-05-05,3000.0,30,True,Single Leg Floor Trade,Business Services,Technology Services,9.25,9.64,9.25,9.42,1,5.176091259055681,20,1,1,1,1,0
AMPX,Business Services,Technology Services,15__0,15,3,0.0,1. p999999_trade_value,16410.0,16410.0,O:AMPX250221P00003000,AMPX,P,3.0,2025-02-21,209,0,302,0.3,1737733046145000000,547,16410.0,2025-01-24,3000.0,30,True,Automatic Execution,Business Services,Technology Services,3.36,3.93,3.29,3.64,1,4.2151085810530935,20,1,1,1,1,0
BLDE,Business Services,Technology Services,10__0,10,3,0.0,1. p999999_trade_value,22714.999999999996,22714.999999999996,O:BLDE241220C00005000,BLDE,C,5.0,2024-12-20,209,0,325,0.35,1732727481502000000,649,22714.999999999996,2024-11-27,3000.0,30,True,Automatic Execution,Business Services,Technology Services,4.03,4.8,4.015,4.39,1,4.356312741150645,20,1,1,0,0,0
BTCM,Business Services,Technology Services,0__2,0,3,2.0,1. p999999_trade_value,3675.0,3675.0,O:BTCM241220C00003000,BTCM,C,3.0,2024-12-20,209,0,308,0.35,1732546704835000000,105,3675.0,2024-11-25,3000.0,30,True,Automatic Execution,Business Services,Technology Services,2.8,2.974,2.7,2.8,1,3.5652573434202135,20,1,1,0,0,0
