security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BAH,Business Services,Consulting Services,30__2,30,2.0,1. p999999_trade_value,475439.99999999994,475439.99999999994,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BAH,Business Services,Consulting Services,30__2,30,2.0,5. p99_trade_value,345420.0,134000.0,6.0,7.0,0.8571428571428571,0.55,1. ABOVE BASELINE,7.0,8.0,0.875
BAH,Business Services,Consulting Services,30__2,30,2.0,6. p95_trade_value,124500.0,27000.0,13.0,30.0,0.43333333333333335,0.55,2. BELOW BASELINE,20.0,38.0,0.5263157894736842
BAH,Business Services,Consulting Services,30__2,30,2.0,7. p90_trade_value,26520.0,15990.0,15.0,37.0,0.40540540540540543,0.55,2. BELOW BASELINE,35.0,75.0,0.4666666666666667
BAH,Business Services,Consulting Services,30__2,30,2.0,8. p75_trade_value,15660.000000000002,8555.000000000002,55.0,111.0,0.4954954954954955,0.55,2. BELOW BASELINE,90.0,186.0,0.4838709677419355
EFX,Business Services,Consulting Services,30__0,30,0.0,1. p999999_trade_value,784960.0,784960.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
EFX,Business Services,Consulting Services,30__0,30,0.0,5. p99_trade_value,186127.0,72640.00000000001,1.0,6.0,0.16666666666666666,0.55,2. BELOW BASELINE,1.0,7.0,0.14285714285714285
EFX,Business Services,Consulting Services,30__0,30,0.0,6. p95_trade_value,64640.00000000001,30000.0,3.0,25.0,0.12,0.55,2. BELOW BASELINE,4.0,32.0,0.125
EFX,Business Services,Consulting Services,30__0,30,0.0,7. p90_trade_value,28800.0,19039.999999999996,9.0,30.0,0.3,0.55,2. BELOW BASELINE,13.0,62.0,0.20967741935483872
EFX,Business Services,Consulting Services,30__0,30,0.0,8. p75_trade_value,18560.0,9339.0,41.0,93.0,0.44086021505376344,0.55,2. BELOW BASELINE,54.0,155.0,0.34838709677419355
EXPO,Business Services,Consulting Services,5__3,5,3.0,1. p999999_trade_value,25499.999999999996,25499.999999999996,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
FC,Business Services,Consulting Services,5__0,5,0.0,1. p999999_trade_value,14000.0,14000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
FCN,Business Services,Consulting Services,15__0,15,0.0,1. p999999_trade_value,27000.0,27000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
FCN,Business Services,Consulting Services,15__0,15,0.0,6. p95_trade_value,13860.0,13860.0,3.0,3.0,1.0,0.55,2. BELOW BASELINE,3.0,4.0,0.75
FCN,Business Services,Consulting Services,15__0,15,0.0,7. p90_trade_value,13419.999999999998,13419.999999999998,1.0,1.0,1.0,0.55,2. BELOW BASELINE,4.0,5.0,0.8
FCN,Business Services,Consulting Services,15__0,15,0.0,8. p75_trade_value,13020.000000000002,11340.0,4.0,7.0,0.5714285714285714,0.55,2. BELOW BASELINE,8.0,12.0,0.6666666666666666
HURN,Business Services,Consulting Services,15__0,15,0.0,1. p999999_trade_value,43500.0,43500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
HURN,Business Services,Consulting Services,15__0,15,0.0,6. p95_trade_value,37500.0,37500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
HURN,Business Services,Consulting Services,15__0,15,0.0,7. p90_trade_value,34200.0,27500.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
HURN,Business Services,Consulting Services,15__0,15,0.0,8. p75_trade_value,22800.0,12980.000000000002,4.0,5.0,0.8,0.55,1. ABOVE BASELINE,8.0,9.0,0.8888888888888888
IT,Business Services,Consulting Services,25__0,25,0.0,1. p999999_trade_value,459540.00000000006,459540.00000000006,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
IT,Business Services,Consulting Services,25__0,25,0.0,5. p99_trade_value,368599.99999999994,153180.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
IT,Business Services,Consulting Services,25__0,25,0.0,6. p95_trade_value,48492.0,22959.999999999996,4.0,11.0,0.36363636363636365,0.55,2. BELOW BASELINE,6.0,14.0,0.42857142857142855
IT,Business Services,Consulting Services,25__0,25,0.0,7. p90_trade_value,20600.0,12000.0,4.0,15.0,0.26666666666666666,0.55,2. BELOW BASELINE,10.0,29.0,0.3448275862068966
IT,Business Services,Consulting Services,25__0,25,0.0,8. p75_trade_value,11960.0,6888.0,24.0,41.0,0.5853658536585366,0.55,2. BELOW BASELINE,34.0,70.0,0.4857142857142857
STN,Business Services,Consulting Services,0__2,0,2.0,1. p999999_trade_value,3200.0,3200.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
