security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
ED,Utilities,Utility - Electric Power,20__0,20,0.0,5. p99_trade_value,121409.99999999999,121409.99999999999,O:ED241018C00105000,ED,C,105.0,2024-10-18,227,0,308,0.95,1726861217688000000,1278,121409.99999999999,2024-09-20,3000,30,True,Single Leg Auction Non ISO,Utilities,Utility - Electric Power,102.23,103.565,101.9801,103.35,2,5.084254459111229,20,1,1,1,1,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,6. p95_trade_value,32400.0,106834.99999999999,O:ED241220P00100000,ED,P,100.0,2024-12-20,232,0,308,1.15,1732903120119000000,929,106834.99999999999,2024-11-29,3000,30,True,Multi Leg auto-electronic trade,Utilities,Utility - Electric Power,101.4,101.8,100.48,100.59,3,5.028713554347253,20,1,1,1,1,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,6. p95_trade_value,32400.0,106834.99999999999,O:ED250117P00087500,ED,P,87.5,2025-01-17,228,0,304,0.75,1734533294191000000,574,43050.0,2024-12-18,3000,30,True,Single Leg Auction ISO,Utilities,Utility - Electric Power,90.7,90.79,88.76,88.87,5,4.633973155789674,20,1,1,0,0,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,7. p90_trade_value,12710.0,20000.0,O:ED250117P00082500,ED,P,82.5,2025-01-17,235,0,323,0.4,1734708203725000000,500,20000.0,2024-12-20,3000,30,True,Multi Leg floor trade,Utilities,Utility - Electric Power,88.78,90.53,88.78,90.03,7,4.301029995663981,20,2,0,0,0,1
ED,Utilities,Utility - Electric Power,20__0,20,0.0,6. p95_trade_value,32400.0,106834.99999999999,O:ED250117P00087500,ED,P,87.5,2025-01-17,235,0,323,1.25,1734708203725000000,400,50000.0,2024-12-20,3000,30,True,Multi Leg floor trade,Utilities,Utility - Electric Power,88.78,90.53,88.78,90.03,4,4.698970004336019,20,1,1,0,0,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,1. p999999_trade_value,145015.0,145015.0,O:ED250417C00110000,ED,C,110.0,2025-04-17,227,0,308,1.15,1742586341634000000,1261,145015.0,2025-03-21,3000,30,True,Single Leg Auction Non ISO,Utilities,Utility - Electric Power,108.22,109.36,107.365,107.8,1,5.161412926926693,20,1,1,1,1,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,7. p90_trade_value,12710.0,20000.0,O:ED250417C00110000,ED,C,110.0,2025-04-17,209,0,316,1.55,1742567291390000000,82,12710.0,2025-03-21,3000,30,True,Automatic Execution,Utilities,Utility - Electric Power,108.22,109.36,107.365,107.8,12,4.1041455505540085,20,2,1,1,1,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,7. p90_trade_value,12710.0,20000.0,O:ED250417C00110000,ED,C,110.0,2025-04-17,209,0,319,1.55,1742567289822000000,82,12710.0,2025-03-21,3000,30,True,Automatic Execution,Utilities,Utility - Electric Power,108.22,109.36,107.365,107.8,11,4.1041455505540085,20,2,1,1,1,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,7. p90_trade_value,12710.0,20000.0,O:ED250417C00110000,ED,C,110.0,2025-04-17,209,0,316,1.55,1742567288338000000,82,12710.0,2025-03-21,3000,30,True,Automatic Execution,Utilities,Utility - Electric Power,108.22,109.36,107.365,107.8,13,4.1041455505540085,20,3,1,1,1,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,7. p90_trade_value,12710.0,20000.0,O:ED250417C00110000,ED,C,110.0,2025-04-17,209,0,316,1.55,1742567280207000000,82,12710.0,2025-03-21,3000,30,True,Automatic Execution,Utilities,Utility - Electric Power,108.22,109.36,107.365,107.8,14,4.1041455505540085,20,3,1,1,1,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,7. p90_trade_value,12710.0,20000.0,O:ED250417C00110000,ED,C,110.0,2025-04-17,209,0,313,1.3,1743187162421000000,100,13000.0,2025-03-28,3000,30,True,Automatic Execution,Utilities,Utility - Electric Power,108.88,109.435,108.12,108.77,10,4.113943352306837,20,2,1,1,1,0
ED,Utilities,Utility - Electric Power,20__0,20,0.0,7. p90_trade_value,12710.0,20000.0,O:ED250417P00105000,ED,P,105.0,2025-04-17,209,0,316,2.1,1744042232454000000,68,14280.000000000002,2025-04-07,3000,30,True,Automatic Execution,Utilities,Utility - Electric Power,107.04,109.32,105.21,105.4,9,4.154728207440155,20,2,1,0,0,0
