security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,1. p999999_trade_value,224850.0,224850.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,4. p999_trade_value,131220.0,131220.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,5. p99_trade_value,123100.0,45220.00000000001,1.0,13.0,0.07692307692307693,0.55,2. BELOW BASELINE,1.0,15.0,0.06666666666666667
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,6. p95_trade_value,45186.0,20254.000000000004,6.0,50.0,0.12,0.55,2. BELOW BASELINE,7.0,65.0,0.1076923076923077
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,7. p90_trade_value,20196.0,13400.0,7.0,65.0,0.1076923076923077,0.55,2. BELOW BASELINE,14.0,130.0,0.1076923076923077
FUBO,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,8. p75_trade_value,13391.999999999998,7566.0,22.0,195.0,0.11282051282051282,0.55,2. BELOW BASELINE,36.0,325.0,0.11076923076923077
SIRI,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,1. p999999_trade_value,511658.0,511658.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
SIRI,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,4. p999_trade_value,482000.0,482000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
SIRI,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,5. p99_trade_value,470000.0,104085.00000000001,10.0,12.0,0.8333333333333334,0.55,2. BELOW BASELINE,11.0,14.0,0.7857142857142857
SIRI,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,6. p95_trade_value,88484.99999999999,27000.0,32.0,56.0,0.5714285714285714,0.55,2. BELOW BASELINE,43.0,70.0,0.6142857142857143
SIRI,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,7. p90_trade_value,26946.000000000004,15000.0,46.0,72.0,0.6388888888888888,0.55,2. BELOW BASELINE,89.0,142.0,0.6267605633802817
SIRI,Consumer Discretionary,Broadcast Radio and Television,30__2,30,2.0,8. p75_trade_value,14969.999999999998,8400.0,117.0,204.0,0.5735294117647058,0.55,2. BELOW BASELINE,206.0,346.0,0.5953757225433526
WBD,Consumer Discretionary,Broadcast Radio and Television,30__1,30,1.0,1. p999999_trade_value,3112500.0,3112500.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
WBD,Consumer Discretionary,Broadcast Radio and Television,30__1,30,1.0,5. p99_trade_value,1120500.0,77175.0,4.0,8.0,0.5,0.55,2. BELOW BASELINE,5.0,9.0,0.5555555555555556
WBD,Consumer Discretionary,Broadcast Radio and Television,30__1,30,1.0,6. p95_trade_value,67475.0,25806.0,17.0,34.0,0.5,0.55,2. BELOW BASELINE,22.0,43.0,0.5116279069767442
WBD,Consumer Discretionary,Broadcast Radio and Television,30__1,30,1.0,7. p90_trade_value,24124.0,14997.0,29.0,42.0,0.6904761904761905,0.55,2. BELOW BASELINE,51.0,85.0,0.6
WBD,Consumer Discretionary,Broadcast Radio and Television,30__1,30,1.0,8. p75_trade_value,14969.999999999998,7938.0,79.0,128.0,0.6171875,0.55,2. BELOW BASELINE,130.0,213.0,0.6103286384976526
