security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BN,Finance,Real Estate - Operations,20__0,20,0.0,1. p999999_trade_value,253175.0,253175.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
BN,Finance,Real Estate - Operations,20__0,20,0.0,5. p99_trade_value,50640.0,50640.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
BN,Finance,Real Estate - Operations,20__0,20,0.0,6. p95_trade_value,32960.0,17925.0,1.0,4.0,0.25,0.65,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
BN,Finance,Real Estate - Operations,20__0,20,0.0,7. p90_trade_value,17125.0,12919.999999999998,1.0,4.0,0.25,0.65,2. BELOW BASELINE,2.0,10.0,0.2
BN,Finance,Real Estate - Operations,20__0,20,0.0,8. p75_trade_value,11499.999999999998,8000.0,2.0,16.0,0.125,0.65,2. BELOW BASELINE,4.0,26.0,0.15384615384615385
HHH,Finance,Real Estate - Development,20__0,20,0.0,1. p999999_trade_value,91908.0,91908.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
HHH,Finance,Real Estate - Development,20__0,20,0.0,5. p99_trade_value,47085.0,47085.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
HHH,Finance,Real Estate - Development,20__0,20,0.0,6. p95_trade_value,28200.0,20000.0,3.0,4.0,0.75,0.65,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
HHH,Finance,Real Estate - Development,20__0,20,0.0,7. p90_trade_value,19500.0,14800.0,1.0,5.0,0.2,0.65,2. BELOW BASELINE,5.0,11.0,0.45454545454545453
HHH,Finance,Real Estate - Development,20__0,20,0.0,8. p75_trade_value,14250.0,7410.000000000001,7.0,15.0,0.4666666666666667,0.65,2. BELOW BASELINE,12.0,26.0,0.46153846153846156
